file,audio_path,light_path,ssm_correlation,novelty_correlation,boundary_f_score,boundary_precision,boundary_recall,rms_correlation,onset_correlation,beat_peak_alignment,beat_valley_alignment,intensity_variance,color_variance,structure_score,rhythm_score,dynamics_score,overall_score
AKA_AKA_Junge_Junge_-_Vallut_Bass,data/edge_intention/audio/AKA_AKA_Junge_Junge_-_Vallut_Bass.pkl,data/edge_intention/light/AKA_AKA_Junge_Junge_-_Vallut_Bass.pkl,0.3027763173099922,0.3707291834699502,0.0,0.0,0.0,-0.4572040904667595,-0.007177179353610889,1.9037506341305383e-09,0.18157228987158971,0.21630333364009857,0.21554678678512573,0.22450183359331413,0.09078614588767017,-0.2321906349101852,0.027699114856933032
Ariana_Grande_-_Into_You,data/edge_intention/audio/Ariana_Grande_-_Into_You.pkl,data/edge_intention/light/Ariana_Grande_-_Into_You.pkl,0.09331942668675862,-0.07014654128706183,0.0,0.0,0.0,0.05532713006941626,0.45378349373905,0.03694012207251934,0.21360062389523896,0.16619117558002472,0.2732575684785843,0.007724295133232265,0.12527037298387914,0.25455531190423314,0.12918332667378152
Avicii_-_Levels_-_Radio_Edit,data/edge_intention/audio/Avicii_-_Levels_-_Radio_Edit.pkl,data/edge_intention/light/Avicii_-_Levels_-_Radio_Edit.pkl,0.06344852588947096,0.031178615443616865,0.0,0.0,0.0,0.13209286348444343,0.36018693351112374,0.01130589929620454,0.01935757459508183,0.3022909164428711,0.3094450831413269,0.03154238044436261,0.015331736945643184,0.2461398984977836,0.09767133862926314
Bilderbuch_-_Maschin,data/edge_intention/audio/Bilderbuch_-_Maschin.pkl,data/edge_intention/light/Bilderbuch_-_Maschin.pkl,0.08615284331452519,0.3589762522813707,0.0,0.0,0.0,0.01803733237098326,0.18357235247841502,0.1186670124290228,0.12614836734239943,0.23927664756774902,0.24048132449388504,0.14837636519863195,0.12240768988571112,0.10080484242469914,0.12386296583634741
Billie_Eilish_-_Therefore_I_Am,data/edge_intention/audio/Billie_Eilish_-_Therefore_I_Am.pkl,data/edge_intention/light/Billie_Eilish_-_Therefore_I_Am.pkl,0.13100003367008306,0.03588775947037107,0.0,0.0,0.0,0.3003324854842485,-0.4640533350173081,0.09779550404991919,0.1,0.3147425055503845,0.2588101774454117,0.05562926438015137,0.0988977520249596,-0.0818604247665298,0.024222197212860386
Billie_Eilish_-_all_the_good_girls_go_to_hell,data/edge_intention/audio/Billie_Eilish_-_all_the_good_girls_go_to_hell.pkl,data/edge_intention/light/Billie_Eilish_-_all_the_good_girls_go_to_hell.pkl,-0.022601117462624668,-0.3217220346042499,0.0,0.0,0.0,0.3456821859480492,0.6258937843949135,0.0208208139771706,2.769090680174736e-09,0.3140113651752472,0.3155035972595215,-0.11477438402229152,0.010410408373130639,0.48578798517148136,0.12714133650744017
Billie_Eilish_-_bad_guy,data/edge_intention/audio/Billie_Eilish_-_bad_guy.pkl,data/edge_intention/light/Billie_Eilish_-_bad_guy.pkl,0.022391122881541783,-0.1076858917044225,0.0,0.0,0.0,0.27447518841191865,0.15680786605611866,0.12500000000000316,0.022611790977419204,0.2528243958950043,0.20575091987848282,-0.028431589607626904,0.07380589548871118,0.21564152723401864,0.0870052777050343
Billie_Eilish_-_you_should_see_me_in_a_crown,data/edge_intention/audio/Billie_Eilish_-_you_should_see_me_in_a_crown.pkl,data/edge_intention/light/Billie_Eilish_-_you_should_see_me_in_a_crown.pkl,0.08192313930602632,-0.16989371968579448,0.0,0.0,0.0,0.01684299877235089,0.08540362279037392,0.015074529010499441,0.030074507385918152,0.326567679643631,0.2698061540722847,-0.02932352679325605,0.0225745181982088,0.051123310781362404,0.01479143406210505
Boris_Brejcha_Arctic_Lake_-_House_Music_feat_Arctic_Lake_feat_Arctic_Lake_-_Edit,data/edge_intention/audio/Boris_Brejcha_Arctic_Lake_-_House_Music_feat_Arctic_Lake_feat_Arctic_Lake_-_Edit.pkl,data/edge_intention/light/Boris_Brejcha_Arctic_Lake_-_House_Music_feat_Arctic_Lake_feat_Arctic_Lake_-_Edit.pkl,0.4169390483768336,0.17292014237099035,0.0,0.0,0.0,0.1047149345763552,0.2366869002146606,0.013533531369658486,0.019333611890944673,0.3029990792274475,0.34962135553359985,0.19661973024927462,0.01643357163030158,0.1707009173955079,0.1279180730916947
Coldplay_-_A_Sky_Full_of_Stars,data/edge_intention/audio/Coldplay_-_A_Sky_Full_of_Stars.pkl,data/edge_intention/light/Coldplay_-_A_Sky_Full_of_Stars.pkl,0.09980635753570502,0.08602224613565078,0.0,0.0,0.0,-0.27294575988619424,0.12002766644723942,2.532833109818835e-15,4.821874621254841e-23,0.2747795879840851,0.1596469059586525,0.061942867890451926,1.2664165790187906e-15,-0.07645904671947741,-0.004838726276341405
College_Electric_Youth_-_A_Real_Hero,data/edge_intention/audio/College_Electric_Youth_-_A_Real_Hero.pkl,data/edge_intention/light/College_Electric_Youth_-_A_Real_Hero.pkl,0.32806968603563214,0.133637528749875,0.0,0.0,0.0,-0.6710181186378443,0.07040652662241226,0.015037253692958373,1.1572499087783506e-22,0.33345213532447815,0.33956846594810486,0.15390240492850238,0.007518626846479187,-0.300305796007716,-0.04629492141091148
